internship_id,date_time,profile,company,location,start_date,stipend,duration,apply_by_date,offer,education,skills,perks,stipend_min,stipend_max,stipend_type,stipend_period,duration_months,apply_by_dt,posted_dt,start_immediate,start_dt,is_remote,city,is_multi_city,skills_tokens,text_blob
INT1000,2025-01-01,Data Science,TechCorp India,Mumbai,1 August 2025,Rs. 5000 /month,2 Months,2025-06-15,"Certificate of Completion, Letter of Recommendation",B.Tech/B.E.,"Python, Machine Learning, Data Analysis","Flexible working hours, Work from home",5000.0,5000.0,fixed,month,2.0,2025-06-15,2025-01-01,False,2025-08-01,False,Mumbai,False,"['python', 'machine learning', 'data analysis']","data science python, machine learning, data analysis flexible working hours, work from home b.tech/b.e. certificate of completion, letter of recommendation techcorp india"
INT1001,2025-02-02,Web Development,StartupXYZ,Delhi,Immediately,Rs. 10000 /month,3 Months,2025-07-01,Pre-Placement Offer (PPO),BCA,"React, JavaScript, HTML, CSS","5 days a week, Free snacks",10000.0,10000.0,fixed,month,3.0,2025-07-01,2025-02-02,True,,False,Delhi,False,"['react', 'javascript', 'html', 'css']","web development react, javascript, html, css 5 days a week, free snacks bca pre-placement offer (ppo) startupxyz"
INT1002,2025-03-03,Machine Learning,InnovateTech,Bangalore,Immediately,Rs. 8000 /month,4 Months,2025-08-20,Certificate of Completion,MCA,"Python, TensorFlow, Deep Learning","Informal dress code, Free snacks",8000.0,8000.0,fixed,month,4.0,2025-08-20,2025-03-03,True,,False,Bangalore,False,"['python', 'tensorflow', 'deep learning']","machine learning python, tensorflow, deep learning informal dress code, free snacks mca certificate of completion innovatetech"
INT1003,2025-04-04,Business Development,DataDriven Co,Hyderabad,1 August 2025,Rs. 15000 /month,6 Months,2025-09-30,Letter of Recommendation,MBA,"Business Development, Sales, CRM","Certificate, LOR",15000.0,15000.0,fixed,month,6.0,2025-09-30,2025-04-04,False,2025-08-01,False,Hyderabad,False,"['business development', 'sales', 'crm']","business development business development, sales, crm certificate, lor mba letter of recommendation datadriven co"
INT1004,2025-05-05,Marketing,DesignHub,Chennai,15 June 2025,Unpaid,1 Month,2025-05-31,,B.Com,"Digital Marketing, SEO, Google Analytics",Flexible working hours,0.0,0.0,unpaid,unknown,1.0,2025-05-31,2025-05-05,False,2025-06-15,False,Chennai,False,"['digital marketing', 'seo', 'google analytics']","marketing digital marketing, seo, google analytics flexible working hours b.com designhub"
INT1005,2025-06-06,Content Writing,FinanceFirst,Pune,1 June 2025,Rs. 3000 /month,5 Months,2025-10-15,"Certificate, PPO",Any Graduate,"Content Writing, Blogging, SEO",Health Insurance,3000.0,3000.0,fixed,month,5.0,2025-10-15,2025-06-06,False,2025-06-01,False,Pune,False,"['content writing', 'blogging', 'seo']","content writing content writing, blogging, seo health insurance any graduate certificate, ppo financefirst"
INT1006,2025-07-07,Graphic Design,MarketMasters,Kolkata,1 June 2025,Rs. 20000 /month,8 Weeks,2025-06-30,"Certificate of Completion, Letter of Recommendation",B.Sc,"Photoshop, Illustrator, Figma",,20000.0,20000.0,fixed,month,1.8411967779056388,2025-06-30,2025-07-07,False,2025-06-01,False,Kolkata,False,"['photoshop', 'illustrator', 'figma']","graphic design photoshop, illustrator, figma b.sc certificate of completion, letter of recommendation marketmasters"
INT1007,2025-08-08,Finance,CodeCraft,Ahmedabad,1 June 2025,Rs. 12000 /month,12 Weeks,2025-07-15,Pre-Placement Offer (PPO),M.Tech,"Finance, Excel, Tally","Flexible working hours, Work from home",12000.0,12000.0,fixed,month,2.761795166858458,2025-07-15,2025-08-08,False,2025-06-01,False,Ahmedabad,False,"['finance', 'excel', 'tally']","finance finance, excel, tally flexible working hours, work from home m.tech pre-placement offer (ppo) codecraft"
INT1008,2025-09-09,Human Resources,CreativeMinds,Jaipur,1 August 2025,Performance based,2 Months,2025-08-01,Certificate of Completion,"B.Tech/B.E., MCA","HR, Recruitment, Excel","5 days a week, Free snacks",,,performance_based,unknown,2.0,2025-08-01,2025-09-09,False,2025-08-01,False,Jaipur,False,"['hr', 'recruitment', 'excel']","human resources hr, recruitment, excel 5 days a week, free snacks b.tech/b.e., mca certificate of completion creativeminds"
INT1009,2025-01-10,Operations,GrowthLab,Noida,Immediately,Rs. 7000-10000 /month,3 Months,2025-11-30,Letter of Recommendation,Any,"Operations, MS Office, Excel","Informal dress code, Free snacks",7000.0,10000.0,range,month,3.0,2025-11-30,2025-01-10,True,,False,Noida,False,"['operations', 'ms office', 'excel']","operations operations, ms office, excel informal dress code, free snacks any letter of recommendation growthlab"
INT1010,2025-02-11,Python Development,AIVentures,Gurgaon,1 August 2025,Rs. 2000 /month,2 Months,2025-06-15,,B.Tech/B.E.,"Python, Django, REST API","Certificate, LOR",2000.0,2000.0,fixed,month,2.0,2025-06-15,2025-02-11,False,2025-08-01,False,Gurgaon,False,"['python', 'django', 'rest api']","python development python, django, rest api certificate, lor b.tech/b.e. aiventures"
INT1011,2025-03-12,Android Development,WebWizards,Chandigarh,1 August 2025,Rs. 25000 /month,3 Months,2025-07-01,"Certificate, PPO",BCA,"Android, Kotlin, Java",Flexible working hours,25000.0,25000.0,fixed,month,3.0,2025-07-01,2025-03-12,False,2025-08-01,False,Chandigarh,False,"['android', 'kotlin', 'java']","android development android, kotlin, java flexible working hours bca certificate, ppo webwizards"
INT1012,2025-04-13,iOS Development,AppFactory,Indore,Immediately,Rs. 5000-8000 /month,4 Months,2025-08-20,"Certificate of Completion, Letter of Recommendation",MCA,"iOS, Swift, Xcode",Health Insurance,5000.0,8000.0,range,month,4.0,2025-08-20,2025-04-13,True,,False,Indore,False,"['ios', 'swift', 'xcode']","ios development ios, swift, xcode health insurance mca certificate of completion, letter of recommendation appfactory"
INT1013,2025-05-14,UI/UX Design,CloudNine,Work From Home,Immediately,,6 Months,2025-09-30,Pre-Placement Offer (PPO),MBA,"Figma, Adobe XD, Sketch",,,,unknown,unknown,6.0,2025-09-30,2025-05-14,True,,True,Remote,False,"['figma', 'adobe xd', 'sketch']","ui/ux design figma, adobe xd, sketch mba pre-placement offer (ppo) cloudnine"
INT1014,2025-06-15,Digital Marketing,BizBoost,Work From Home,Immediately,Rs. 18000 /month,1 Month,2025-05-31,Certificate of Completion,B.Com,"Facebook Ads, Google Ads, SEO","Flexible working hours, Work from home",18000.0,18000.0,fixed,month,1.0,2025-05-31,2025-06-15,True,,True,Remote,False,"['facebook ads', 'google ads', 'seo']","digital marketing facebook ads, google ads, seo flexible working hours, work from home b.com certificate of completion bizboost"
INT1015,2025-07-16,Social Media Marketing,ContentKing,Work From Home,1 July 2025,Rs. 5000 /month,5 Months,2025-10-15,Letter of Recommendation,Any Graduate,"Instagram, Facebook, Content Creation","5 days a week, Free snacks",5000.0,5000.0,fixed,month,5.0,2025-10-15,2025-07-16,False,2025-07-01,True,Remote,False,"['instagram', 'facebook', 'content creation']","social media marketing instagram, facebook, content creation 5 days a week, free snacks any graduate letter of recommendation contentking"
INT1016,2025-08-17,Video Editing,PixelPerfect,Mumbai,Immediately,Rs. 10000 /month,8 Weeks,2025-06-30,,B.Sc,"Premiere Pro, After Effects, Davinci Resolve","Informal dress code, Free snacks",10000.0,10000.0,fixed,month,1.8411967779056388,2025-06-30,2025-08-17,True,,False,Mumbai,False,"['premiere pro', 'after effects', 'davinci resolve']","video editing premiere pro, after effects, davinci resolve informal dress code, free snacks b.sc pixelperfect"
INT1017,2025-09-18,React Development,AnalyticsEdge,Delhi,Immediately,Rs. 8000 /month,12 Weeks,2025-07-15,"Certificate, PPO",M.Tech,"React, Node.js, MongoDB","Certificate, LOR",8000.0,8000.0,fixed,month,2.761795166858458,2025-07-15,2025-09-18,True,,False,Delhi,False,"['react', 'node.js', 'mongodb']","react development react, node.js, mongodb certificate, lor m.tech certificate, ppo analyticsedge"
